input,intent,botName
Fuck billing give me some fucking body,Agent transfer,Common_Dev_UNI_FEB28
Reduce bill by fifteen dollars,Agent transfer,Common_Dev_UNI_FEB28
Thirty dollar bill reduction,Agent transfer,Common_Dev_UNI_FEB28
Thirty dollar reduction in bill,Agent transfer,Common_Dev_UNI_FEB28
Trying to pay my fucking bill you dumb bitch,Agent transfer,Common_Dev_UNI_FEB28
Damn to lower my bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with services and billing,Agent transfer,Common_Dev_UNI_FEB28
Getting service billing service,Agent transfer,Common_Dev_UNI_FEB28
Operator's assistance about getting a better cable bill deal,Agent transfer,Common_Dev_UNI_FEB28
Speak to a rep concerning billing of Disney,Agent transfer,Common_Dev_UNI_FEB28
My auto bill on my autopay I want to discuss that with someone please,Agent transfer,Common_Dev_UNI_FEB28
Like to speak with an operator to pay cable bill,Agent transfer,Common_Dev_UNI_FEB28
Upgrade my gosh help with my billing,Agent transfer,Common_Dev_UNI_FEB28
Service WePay for bill we have no service,Agent transfer,Common_Dev_UNI_FEB28
Pay bill and give me the customer care,Agent transfer,Common_Dev_UNI_FEB28
Question bill question service,Agent transfer,Common_Dev_UNI_FEB28
Some expo bill customer offer,Agent transfer,Common_Dev_UNI_FEB28
Billing bill dispute the first just need to shit service,Agent transfer,Common_Dev_UNI_FEB28
Reducing my bill with customer solution team,Agent transfer,Common_Dev_UNI_FEB28
Lowering my bill speak to customer retention,Agent transfer,Common_Dev_UNI_FEB28
Following up my ACB application billing department,Agent transfer,Common_Dev_UNI_FEB28
Questions on my bill customer retention,Agent transfer,Common_Dev_UNI_FEB28
A discount on my bill ,Agent transfer,Common_Dev_UNI_FEB28
Speaker bill,Agent transfer,Common_Dev_UNI_FEB28
I need to lower my bill I'm just getting new equipment,Agent transfer,Common_Dev_UNI_FEB28
I would like to discuss with an operator about potential of what is going on with my billing contract,Agent transfer,Common_Dev_UNI_FEB28
What is lowering my bill,Agent transfer,Common_Dev_UNI_FEB28
